Region,Year,adolescent_fertility,"Fertility rate, total (births per woman)",gdp_per_capita,school_enrollment_primary,school_enrollment_secondary,school_enrollment_tertiary
European Union,1985,24.5045925609452,1.72262609847855,6499.68706109997,102.951881408691,89.4729232788086,25.9926204681396
European Union,1986,24.2871913337049,1.70973174102426,9050.25675466105,103.085792541504,91.307861328125,26.4395503997803
European Union,1987,23.9871522900984,1.68436040952734,11154.0164450066,103.191429138184,92.3124084472656,26.6097297668457
European Union,1988,23.2665037327527,1.68721245113623,12205.8900902381,102.869499206543,92.9140472412109,27.2556896209717
European Union,1989,21.8449068470559,1.65095789561648,12426.2087417682,102.444686889648,93.5318069458008,28.3955402374268
European Union,1990,21.7937027800155,1.63522458321893,15488.3024607428,101.863967895508,94.03759765625,29.3689804077148
European Union,1991,21.4641776656771,1.58411602578803,15966.1333647238,101.353897094727,94.3682632446289,30.970760345459
European Union,1992,20.5871425285191,1.54536954281203,17476.7566244059,101.657722473145,95.0193176269531,32.5444602966309
European Union,1993,19.6006189009472,1.50275141132261,15909.646287513,102.671081542969,98.3673095703125,35.1210784912109
European Union,1994,18.175148730002,1.45771932232697,16820.3763501317,103.344718933105,101.365142822266,38.0570106506348
European Union,1995,16.648663690864,1.41509002246975,19464.699643205,103.157188415527,102.111801147461,39.6536293029785
European Union,1996,15.8858138093244,1.41307848966944,19750.4198924412,103.565780639648,102.858467102051,41.7627792358398
European Union,1997,15.2811048678983,1.41545530734644,18088.7708821154,103.177017211914,102.870719909668,43.8586387634277
European Union,1998,14.9503803481713,1.405198203245,18615.8962048236,104.364700317383,100.766586303711,44.9949417114258
European Union,1999,14.972366880343,1.40753234789104,18482.5401261558,104.172088623047,101.149223327637,46.9803314208984
European Union,2000,15.1867419990071,1.44091614987619,16947.7548801633,103.23494720459,101.423011779785,48.8390083312988
European Union,2001,14.7744003597278,1.42263238685652,17198.0404480502,103.542198181152,102.644721984863,51.4018898010254
European Union,2002,14.256973698845,1.4208155397779,18759.6997272038,103.241790771484,103.308792114258,53.881420135498
European Union,2003,13.9783804628996,1.43222354003377,22967.9352587553,103.14395904541,103.688247680664,56.3051986694336
European Union,2004,13.7866217053373,1.4558508027026,26307.1978718488,103.018440246582,101.402328491211,58.4833717346191
European Union,2005,13.628221165765,1.46785428252319,27341.7316541806,103.52172088623,102.904357910156,60.2574005126953
European Union,2006,13.6068673197443,1.49458007867262,29089.7102583347,103.352073669434,103.673866271973,61.6712303161621
European Union,2007,13.6911442691173,1.51644868193359,33587.3566440262,103.081672668457,103.664260864258,62.5265197753906
European Union,2008,14.0790524181896,1.56637342827422,37044.0544950347,102.696670532227,104.85627746582,63.704719543457
European Union,2009,13.6515636116359,1.55894562557204,33480.8039841941,102.292503356934,105.569038391113,64.9435501098633
European Union,2010,12.7535272652424,1.56645735383025,32965.7749921581,101.965263366699,106.968536376953,66.3764266967773
European Union,2011,11.9340853768983,1.53260625118959,35767.3390670531,101.755767822266,107.659210205078,67.1579666137695
European Union,2012,11.579595167319,1.53326479612932,33169.4056830501,101.649803161621,106.667221069336,67.1767120361328
European Union,2013,10.890273205279,1.50708443826818,34564.9404479271,102.258331298828,108.924690246582,67.519660949707
European Union,2014,10.6708656126043,1.53515070431339,35282.5164630827,101.583686828613,108.219200134277,68.7190399169922
European Union,2015,10.2245270004453,1.53730158383717,30487.6523692732,101.429550170898,107.957672119141,69.7702713012695
European Union,2016,10.1677784595654,1.56649940427299,31174.7535083936,101.057540893555,107.128288269043,70.5147018432617
European Union,2017,9.68018902258034,1.5595863456169,33091.3890251906,101.457977294922,107.418952941895,71.7865982055664
European Union,2018,9.36504460914845,1.54224471937495,35752.5873421988,101.445533752441,107.557319641113,72.9127807617188
European Union,2019,9.2874116406117,1.525127741333,35080.9147971764,101.545257568359,107.295753479004,74.036018371582
European Union,2020,9.17471713040564,1.50406540114643,34357.1199881912,100.82568359375,108.113830566406,74.9978790283203
European Union,2021,9.22803732801719,1.52365643295213,38720.8751728955,101.426292419434,107.966026306152,77.8414077758789
European Union,2022,9.06646346314163,1.4614038129127,37466.6963511535,101.466720581055,107.644416809082,79.6943130493164
European Union,2023,9.06646346314163,1.4614038129127,40823.8762634762,101.447128295898,107.661437988281,79.7254409790039
North America,1974,54.0470267270601,1.83523418417232,7209.10009074679,95.0186996459961,87.572639465332,48.5434494018555
North America,1975,52.2515564277227,1.7789832768283,7775.53369753102,94.9648818969727,87.5312576293945,51.7949714660645
North America,1976,50.0214028731744,1.74380665737887,8615.9107206683,95.0993270874023,87.6972122192383,54.8269386291504
North America,1977,49.9653165968468,1.78916785004738,9403.38782910036,94.6077270507812,88.1343231201172,53.444091796875
North America,1978,48.971948090436,1.76074921775751,10427.5163891898,94.1215591430664,88.2373962402344,54.2747993469238
North America,1979,49.4324594738821,1.80255988558028,11518.7411730326,93.3543395996094,83.1467590332031,53.7925300598145
North America,1980,50.2905535398096,1.82945848231624,12441.4411454969,101.040397644043,95.6284408569336,54.8792190551758
North America,1981,49.8988063440379,1.80067232126173,13820.1360633662,101.014793395996,94.7610397338867,57.2137794494629
North America,1982,50.3510900471852,1.81360366300271,14247.2890745479,103.98860168457,97.9887771606445,58.7267913818359
North America,1983,49.35097488003,1.78703656695564,15341.7170059818,104.009017944336,97.3326568603516,59.3995895385742
North America,1984,48.2709558117542,1.79077266533159,16808.8367308835,103.491409301758,98.1776809692383,60.5708885192871
North America,1985,48.1210448728468,1.82657884439552,17838.4911957743,102.954582214355,96.601936340332,61.0496711730957
North America,1986,47.1005046787685,1.82124737681801,18625.5550120448,103.102043151855,97.0958862304688,62.4370307922363
North America,1987,47.7273458694223,1.85274433714372,19679.2211204503,103.165557861328,97.4790420532227,65.1078491210938
North America,1988,50.8706266009654,1.90842746056679,21180.218599361,103.856086730957,97.1619720458984,67.5888977050781
North America,1989,54.689516971256,1.98916424775948,22652.5215878915,104.561218261719,96.8465805053711,69.2309112548828
North America,1990,57.417990557681,2.05530922102044,23653.3513218878,105.233108520508,96.4796905517578,71.5944519042969
North America,1991,57.8555512867359,2.0275357555237,24094.0417993759,104.349937438965,95.5374221801758,73.1778335571289
North America,1992,56.2676049518614,2.01178617556658,24974.7240852762,104.30541229248,96.2209625244141,77.4639511108398
North America,1993,54.5881174567882,1.98602638359985,25772.0640446898,104.24259185791,96.9813766479492,78.4823989868164
